Question,Answer
What should I do if my order is approved but hasn't been shipped yet?,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.
Can I take the shipment after opening and checking the contents inside?,"As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns."
How quickly can I get my order delivered?,Orders will be delivered by the date you see on the product page for your location.
What are the standard shipping speeds and delivery charges?,"Standard Delivery charges and shipping timelines vary based on several factors like the seller, type of the product, price of the product, order value and delivery pin code. Delivery timeline is displayed on the product page. You can choose a delivery pin code on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges."
When will I get my order once its status changes to 'Out for Delivery'?,"Once an order is out for delivery, please wait till 11 PM for the delivery executive to deliver your order. For products that have a faster delivery option to your location, the time by which it can be delivered will be mentioned on the product page."
"Why am I unable to order products like television, air-conditioner, refrigerator, washing machine, furniture, microwave, treadmill, etc. at my location?","The delivery of large category products at a particular location depends on the following factors:
Dimensions and weight
Location of the seller
Serviceability of the seller's partnered service provider

Always ensure to update your preferred delivery location/address to verify if the seller is offering the product or deal at your location."
Are faster delivery options like Same Day & In-a-Day available on return requests?,"No, however, we try our best to have your item(s) picked up by our courier service providers & get you the replacement as soon as possible."
What should I do if I find the package open or tampered on delivery?,"You can reject the delivery at the doorstep. However, if the product is already delivered, you can create a return request for the item as per the returns policy from the 'Orders' section of your app."
Why did the delivery executive refuse to pickup my product?,"When returning a product, it is important to select the correct reason for the return and ensure that the item being returned meets the criteria for the selected reason code. This is because delivery executives are responsible for performing checks on the returned product and will refuse to pick up the item if it does not meet the specified criteria. If this happens, it is advisable to ask the delivery executive for the reason for the pickup denial to avoid similar incidents in the future. By following these guidelines, you can help ensure a smoother return process and minimise the chances of your return being rejected."
Can my order be prioritised or delivered faster?,"Order delivery dates can't be changed, since they're determined by sellers based on the timeline they need for processing. These are based on factors like your address, the seller's address and the type of product. That said, orders usually arrive on or before the scheduled delivery date, and you can track them easily via our app or website.
 "
The delivery of my order is delayed. What should I do?,"In the event that the delivery of your order is delayed, a new delivery date will be communicated to you via SMS/email. Additionally, you can access your Flipkart app's 'Orders' section to view the new delivery date and order status."
"My order status is delivered but I have not got the package, what do I do?","- See if any of your neighbours/friends/relatives/house owners/security guards have collected your product on your behalf.
- Wait until the end of the day— sometimes packages can reflect delivered while still in transit.
In the unlikely event of you still not being able to locate your item, please contact us and we will be happy to help."
How do I track my order details?,You can view your order details on the 'Orders' page under the 'Account' section of your app by selecting the product.
Can I collect the product from warehouse/hub?,"As a security measure, orders cannot be picked up from a warehouse, hub, or delivery center. Instead, orders will be delivered to the address provided by the customer.
As soon as your order is out for delivery, you can view the details of your delivery executive by visiting the 'Orders' section of your Flipkart account. You can contact the delivery executive to understand the delivery timelines.
Don't worry if you miss a delivery attempt as there will be three attempts in total."
How can I modify/add an alternate number for the order delivery?,"You can modify the existing delivery contact number or add an alternate one with these simple steps:

- Go to 'Orders' under 'Account'
- Select the desired 'Order'
- Scroll down and go to the shipping details tab and tap 'Edit Order'
- Tap 'I want to change my phone number'
- Add or select a new number
- Tap 'Save'"
"How can I check which address I provided, and confirm if the billing address is the same as the shipping address?","You can check your address details on the Order Summary page. By default, the billing address is the same as the shipping address unless you’ve updated it. The billing address will also be visible on the invoice once your order is delivered."
Why is my order status not updated to delivered ?,"It may take up to 24 hours for the order status to be updated. If it still doesn't update, feel free to reach out for assistance."
Why did I receive a message about delivery failure when I already received my order?,"This can happen due to an unexpected issue. If you have already received your order, please ignore any such message."
When will I get my order once it is Out for Delivery?,"Orders out for delivery will reach you by 11 PM. Large items like furniture, electronics, or groceries will be delivered in your chosen slot.
For Ekart deliveries, find the delivery executive's contact details in the 'Orders' section of the app. For other delivery partners, you’ll receive an SMS with the details.
Keep your phone handy as the delivery executive might call you."
When will I get my order if I miss a delivery attempt?,"If you miss a delivery, another attempt is made on the next business day, and an SMS is sent with details about the revised delivery date. An order is usually cancelled after three unsuccessful delivery attempts have been made."
"My order has reached the nearest delivery hub, but why isn't it out for delivery yet?","The delivery partner delivering your order is responsible for making sure that your order reaches you within the delivery date. Rest assured, you'll get an SMS once your shipment is out for delivery. You can also contact the delivery executive using the contact details available on the 'Orders' page."
Why does the estimated delivery time vary for each seller?,"Delivery timelines are determined by various factors, including the type of product, the seller's city, your delivery location, and the time needed by the delivery partner to deliver the order. You can view the estimated delivery time by entering your pincode on the product page."
I have a complaint about the delivery executive who came to deliver my order.,You can contact our Customer Support team with the details and we will get in touch with the delivery partner to resolve your complaint.
Why can't I track my order even though it has been shipped?,Courier services usually take upto 24 hours to activate tracking for an order once it's shipped. Please check again after the mentioned time frame.
How do I contact the delivery partner?,"Here are the contact details of some of the leading delivery partners:
E-Kart - www.ekartlogistics.com
Gati - www.Gati.com
Delhivery - www.delhivery.com
Blue Dart - www.bluedarttrackings.in
Ecom - www.ecomexpress.in
DotZot - www.dotzot.in
Speed Post - India Post - www.indiapost.gov.in"
Why was my order not delivered/delivery attempt unsuccessful?,"Sometimes, an order may be undelivered due to one of the following reasons:
Incorrect Address: If the address is incorrect or outdated, the package is usually returned to the seller by the delivery partner or the unintended recipient.
Other Address Issues: In rare cases, it is also possible that the address label was difficult to decipher during the shipping and handling process, or that the delivery partner left the package at a different address than what was printed on the label.
Failed Delivery Attempts: Most of the delivery partners make more than one attempt to deliver a package. If nobody is available to accept the delivery after multiple attempts, the package is returned to the seller. Please keep your phone handy to ensure the delivery executive can contact you once the order is out for delivery.
Damaged During Transit: If a package is damaged on its way to you, the delivery partner will return it to the seller without attempting delivery.
Logistical issues: Unexpected issues like heavy rain, vehicle breakdown, or government restrictions in an area
Rest assured, delivery partners will make a total of 3 attempts to deliver your order."
What do the different order statuses in 'My Orders' mean?,"The different order statuses are as mentioned below:
Approved: Order you have placed for an item is confirmed by the seller.
Ready to Ship: Your item is packed and ready for pickup by a delivery partner.
Dispatched: Your item has been picked up from the seller by the delivery partner and is on its way to a logistic facility.
Shipped: Your item is on its way to you.
Out for delivery: A delivery executive is out to deliver your order.
Delivered: Your item has been delivered.
Return requested: You have created a return request for the item, which is pending confirmation from the seller.
Returned: You have returned the item for refund/replacement/exchange."
Can I get my orders delivered at a specific time?,"Orders for a few items from certain categories like large appliances, furniture, and exercise & fitness categories can be delivered at specific time slots by delivery partners. You can choose your preferred time slot from the list of available ones while placing your order. For other items, delivery partners currently do not support delivery at a specific time due to their varying delivery schedules. However, once the order is out for delivery, you can contact the delivery executive using the contact details available on the 'Orders' page."
Can I club my orders from different sellers to be delivered together?,"Currently, there is no option to club orders from different sellers to be delivered together as sellers could be located in different locations and the delivery timelines would vary based on the delivery partner. To ensure your items reach you at the earliest, each seller ships their products as per their individual timelines."
Will the delivery be tried again if I'm not able to collect my order the first time?,"Delivery partners make sure that the delivery is re-attempted the next working day if you can't collect your order the first time. Overall, they make a total of 3 attempts to deliver an order."
Why are faster delivery options not available at my location?,"Faster delivery options may not be available at your location due to delivery partner related reasons, but we're trying to expand our services to include more places. Stay tuned for updates!"
Why did I receive a new delivery date for my order on the day my order was initially supposed to be delivered?,A new delivery date is provided for certain orders that cannot be delivered by the initial delivery date due to any unexpected issues faced by the delivery partner.
"I can see that order for a new item has been placed automatically for my account, why?","If your order was lost or damaged during transit, the seller will replace the item(s) and ship them again with a new delivery date. Any offers or promotions from the original order will still apply."
How do I track my order?,"Once your order gets shipped, a tracking ID gets generated. You can find this in the 'Orders' section of your app. If your order has been shipped with Ekart, you can use the tracking ID to find out where your order is currently at by clicking here: ekartlogistics.com
Similarly, for other delivery partners, you can use the respective tracking ID to track your order on that delivery partner's website."
